#	Set rue name based on id_caclr_rue when we can't use a rule because another street actually has that name
5496	Am Gronn
3086	Cité Aline Mayrisch
4000	Place des Écoles
2235	Rue Op der Steh
4052	Medernacherstrooss
2886	Rue Hiehl
1315	Hiel
5240	An der Hiel
7537	Rue Hiehl
7618	Zone d'Activité Régionale Économique Riesenhaff
9621	Zone Artisanale et Commerciale Marnach
5588	Rue Am Weiher
2088	Rue Bellevue
821	Gaessel
2192	An der Gessel
3192	Gässel
9013	Gässel
889	Gässel
6722	Rue Hiel
2144	Rue des Écoles
6990	Rue des Muguets
2296	Place de la Bruyère
4447	Route de Holtz
